iter	Passed	Remaining
0	137	137499
1	139	69427
2	140	46805
3	142	35424
4	143	28519
5	144	23917
6	145	20627
7	146	18217
8	148	16363
9	150	14898
10	151	13660
11	153	12638
12	155	11781
13	156	11020
14	158	10381
15	159	9822
16	160	9294
17	161	8828
18	162	8407
19	163	8035
20	165	7698
21	166	7405
22	167	7131
23	169	6873
24	169	6624
25	171	6408
26	172	6204
27	173	6014
28	174	5841
29	175	5676
30	176	5528
31	178	5387
32	179	5245
33	180	5125
34	181	5016
35	183	4910
36	184	4804
37	185	4698
38	186	4605
39	187	4510
40	189	4425
41	190	4341
42	191	4261
43	192	4182
44	193	4110
45	195	4049
46	196	3987
47	198	3929
48	199	3869
49	200	3808
50	201	3752
51	202	3694
52	203	3639
53	204	3591
54	206	3540
55	207	3492
56	208	3451
57	209	3408
58	211	3373
59	212	3335
60	214	3295
61	215	3258
62	216	3221
63	218	3190
64	219	3153
65	220	3116
66	221	3083
67	222	3051
68	224	3029
69	226	3006
70	227	2976
71	228	2949
72	230	2922
73	231	2894
74	232	2865
75	233	2838
76	234	2814
77	235	2789
78	237	2763
79	238	2741
80	239	2722
81	241	2698
82	241	2673
83	243	2651
84	244	2632
85	245	2611
86	249	2615
87	250	2596
88	251	2575
89	252	2556
90	253	2537
91	255	2519
92	256	2505
93	258	2489
94	271	2581
95	272	2564
96	273	2546
97	274	2529
98	275	2510
99	277	2493
100	278	2475
101	279	2460
102	280	2443
103	281	2426
104	282	2410
105	284	2396
106	285	2382
107	286	2368
108	288	2355
109	289	2340
110	290	2326
111	291	2313
112	292	2299
113	294	2285
114	295	2272
115	296	2261
116	297	2247
117	299	2235
118	300	2227
119	302	2214
120	303	2203
121	304	2190
122	305	2178
123	306	2166
124	307	2154
125	309	2144
126	310	2131
127	311	2119
128	312	2107
129	313	2096
130	314	2086
131	315	2077
132	317	2068
133	318	2057
134	319	2046
135	320	2036
136	321	2026
137	322	2016
138	323	2006
139	324	1995
140	325	1984
141	326	1973
142	327	1964
143	328	1955
144	329	1945
145	330	1935
146	332	1928
147	333	1919
148	334	1912
149	336	1908
150	338	1900
151	339	1893
152	340	1886
153	342	1879
154	343	1870
155	344	1862
156	345	1857
157	347	1850
158	348	1843
159	349	1836
160	350	1828
161	352	1822
162	353	1815
163	354	1808
164	356	1802
165	357	1795
166	358	1789
167	360	1783
168	361	1777
169	362	1772
170	364	1765
171	365	1758
172	366	1753
173	368	1749
174	369	1743
175	370	1736
176	372	1730
177	373	1726
178	375	1722
179	376	1715
180	378	1710
181	379	1704
182	380	1698
183	381	1694
184	383	1688
185	384	1682
186	385	1676
187	387	1671
188	388	1665
189	389	1660
190	390	1654
191	391	1649
192	393	1644
193	394	1637
194	394	1630
195	396	1624
196	397	1619
197	398	1613
198	399	1607
199	400	1602
200	401	1596
201	402	1590
202	404	1586
203	405	1581
204	406	1576
205	407	1570
206	408	1565
207	409	1560
208	410	1555
209	412	1550
210	413	1545
211	414	1540
212	415	1535
213	416	1531
214	417	1526
215	419	1523
216	421	1519
217	422	1514
218	423	1510
219	424	1506
220	425	1501
221	427	1496
222	428	1492
223	429	1488
224	431	1486
225	432	1481
226	434	1477
227	435	1474
228	436	1470
229	437	1466
230	438	1461
231	440	1458
232	442	1455
233	443	1451
234	444	1448
235	446	1444
236	449	1447
237	450	1443
238	452	1440
239	453	1437
240	454	1432
241	456	1428
242	457	1424
243	458	1420
244	459	1417
245	461	1414
246	462	1410
247	463	1406
248	465	1403
249	466	1400
250	468	1396
251	469	1394
252	471	1391
253	474	1394
254	476	1391
255	477	1387
256	478	1384
257	480	1380
258	481	1376
259	482	1372
260	483	1367
261	484	1364
262	485	1361
263	487	1358
264	488	1355
265	489	1350
266	490	1347
267	491	1343
268	493	1341
269	494	1337
270	495	1334
271	496	1330
272	498	1327
273	499	1323
274	501	1321
275	502	1317
276	503	1314
277	504	1310
278	505	1307
279	506	1303
280	508	1300
281	510	1300
282	512	1298
283	514	1295
284	515	1292
285	516	1289
286	518	1287
287	519	1283
288	521	1281
289	522	1278
290	524	1277
291	526	1276
292	527	1272
293	529	1271
294	530	1268
295	532	1266
296	533	1263
297	535	1261
298	536	1258
299	538	1256
300	539	1253
301	540	1249
302	541	1246
303	542	1242
304	544	1240
305	545	1238
306	547	1234
307	548	1231
308	549	1228
309	550	1224
310	551	1221
311	552	1218
312	554	1216
313	555	1212
314	556	1209
315	557	1206
316	558	1203
317	560	1201
318	561	1198
319	562	1194
320	563	1192
321	565	1189
322	566	1187
323	567	1184
324	569	1182
325	570	1179
326	571	1176
327	572	1173
328	574	1172
329	575	1169
330	577	1166
331	578	1163
332	579	1160
333	580	1158
334	581	1155
335	583	1152
336	584	1149
337	585	1146
338	587	1144
339	588	1143
340	590	1140
341	591	1137
342	592	1134
343	593	1132
344	595	1129
345	596	1127
346	598	1125
347	599	1122
348	601	1121
349	602	1118
350	603	1116
351	605	1114
352	606	1112
353	608	1109
354	609	1107
355	610	1105
356	612	1103
357	613	1100
358	614	1097
359	616	1095
360	617	1092
361	618	1089
362	619	1087
363	621	1085
364	622	1082
365	623	1079
366	624	1077
367	625	1074
368	627	1072
369	628	1070
370	629	1067
371	630	1065
372	632	1062
373	633	1060
374	634	1057
375	636	1055
376	637	1053
377	638	1051
378	639	1048
379	640	1045
380	642	1043
381	643	1041
382	645	1039
383	646	1036
384	647	1033
385	648	1031
386	649	1028
387	650	1026
388	651	1023
389	652	1021
390	653	1018
391	655	1016
392	656	1013
393	657	1011
394	659	1009
395	660	1007
396	661	1004
397	662	1002
398	663	1000
399	665	997
400	666	995
401	667	992
402	668	990
403	669	987
404	670	985
405	672	983
406	673	980
407	674	978
408	675	976
409	677	974
410	678	972
411	679	969
412	680	967
413	681	964
414	682	962
415	684	960
416	685	958
417	687	956
418	688	954
419	690	953
420	691	951
421	692	948
422	694	946
423	695	944
424	696	942
425	699	941
426	699	939
427	701	937
428	702	935
429	704	933
430	705	931
431	706	929
432	708	927
433	709	925
434	711	923
435	712	921
436	713	918
437	714	917
438	716	915
439	717	913
440	718	911
441	720	909
442	721	907
443	723	905
444	724	903
445	725	901
446	726	899
447	728	897
448	729	895
449	730	893
450	732	891
451	733	889
452	734	887
453	735	884
454	736	882
455	738	880
456	739	878
457	740	876
458	741	874
459	742	871
460	743	869
461	744	867
462	745	864
463	746	862
464	748	860
465	749	858
466	750	856
467	751	854
468	752	851
469	753	849
470	754	847
471	755	845
472	756	843
473	758	841
474	759	839
475	760	837
476	761	835
477	762	832
478	763	830
479	765	828
480	766	826
481	767	824
482	768	822
483	769	820
484	770	818
485	772	816
486	773	814
487	774	812
488	775	810
489	776	808
490	778	806
491	779	804
492	780	802
493	781	800
494	783	798
495	784	796
496	785	794
497	786	792
498	787	790
499	789	789
500	790	787
501	791	785
502	792	783
503	793	781
504	794	779
505	795	777
506	797	775
507	798	773
508	799	771
509	801	769
510	802	768
511	803	766
512	805	764
513	806	762
514	807	760
515	809	758
516	810	756
517	811	754
518	812	753
519	814	751
520	815	749
521	816	747
522	818	746
523	819	744
524	821	742
525	822	741
526	823	739
527	824	737
528	825	735
529	827	733
530	828	731
531	829	729
532	830	727
533	832	726
534	833	724
535	835	723
536	836	721
537	838	720
538	839	717
539	840	716
540	841	714
541	843	712
542	844	710
543	846	709
544	847	707
545	849	705
546	850	704
547	851	702
548	853	700
549	854	699
550	855	697
551	856	695
552	858	693
553	859	692
554	861	690
555	862	688
556	863	686
557	864	684
558	865	683
559	866	681
560	867	679
561	868	677
562	870	675
563	871	673
564	872	671
565	873	670
566	875	668
567	876	666
568	877	664
569	879	663
570	880	661
571	881	659
572	883	658
573	884	656
574	885	654
575	886	652
576	888	651
577	889	649
578	890	647
579	891	645
580	892	643
581	893	642
582	895	640
583	896	638
584	897	636
585	898	635
586	899	633
587	900	631
588	901	629
589	902	627
590	903	625
591	905	624
592	906	622
593	907	620
594	909	618
595	910	617
596	911	615
597	913	613
598	914	611
599	915	610
600	916	608
601	917	606
602	919	605
603	921	603
604	922	602
605	924	600
606	925	599
607	926	597
608	928	595
609	929	594
610	930	592
611	931	590
612	933	589
613	934	587
614	935	585
615	936	583
616	937	582
617	939	580
618	940	578
619	941	577
620	942	575
621	943	573
622	944	571
623	946	570
624	947	568
625	948	566
626	949	564
627	951	563
628	952	561
629	954	560
630	955	558
631	957	557
632	958	555
633	959	554
634	960	552
635	962	550
636	963	549
637	964	547
638	966	545
639	967	543
640	968	542
641	969	540
642	970	538
643	971	537
644	972	535
645	974	533
646	975	532
647	976	530
648	976	528
649	977	526
650	979	524
651	980	523
652	981	521
653	982	519
654	984	518
655	985	516
656	986	514
657	987	513
658	988	511
659	989	509
660	990	508
661	991	506
662	993	504
663	994	503
664	995	501
665	996	499
666	997	498
667	998	496
